subject,os,type,vendor,lineage,latest_version,desktop,iso_access,customers,maintained,official_image,other_refs
,Anolis OS（龙蜥）,社区开源,OpenAnolis 龙蜥社区,RHEL 兼容系[^R44],23.5（官方公告未同步）[^R41],无桌面 ISO；有独立 DDE 仓库[^R42][^R41],直接下载[^R41],**服务器端定位**：金融·运营商核心系统（社区自述）；桌面靠衍生版[^R110][^R92],活跃,未公开[^R18][^R33],
,OpenCloudOS,社区开源,OpenCloudOS 社区,自主演进，RHEL 系包管理[^R11],9.6（2026-07-13）[^R43][^R11],无桌面 ISO；文档有 GNOME 43 装法 / EX-NDE[^R12][^R19],直接下载[^R43],**服务器端定位**：腾讯内部全量业务·腾讯云客户·12 大行业（社区自述）[^R111][^R92],活跃,未公开[^R34],
,新支点桌面操作系统（NewStart NSDL）,商业,广东中兴新支点技术有限公司（中兴通讯全资子公司）,未查到官方结论[^R83],V4.5.2（官方未标日期）[^R59],EX-NDE 超凡桌面（Qt 自研）[^R60][^R19],网盘分发（桌面版本体走网盘；同厂服务器版是 HTTP 直链）[^R123],政务办公·电力·金融·通信·教育（厂商自述）｜**桌面版从未入安可**[^R102][^R92],品牌活跃（桌面线最近更新未查到）,未公开,
,AOSC OS（安同 OS）,社区开源,安同开源社区,完全独立自建，自研 oma[^R1],滚动（下载页 2026-06-21）[^R1],KDE Plasma[^R1],直接下载[^R1],有 Linux 经验的个人用户·旧机续命·LoongArch 生态（社区自述；**官方声明不适合商业部署**）[^R112],活跃,未公开[^R35][^R20],
,RevyOS,社区开源,中科院软件所 PLCT Lab / RuyiSDK,Debian 13 trixie；RISC-V[^R39],镜像站 20260504（文档滞后）[^R82],Xfce4[^R82],直接下载（刷机镜像，非 ISO 形态）[^R39],RISC-V 开发者·玄铁芯片生态适配者·开发板玩家（项目方自述）[^R114][^R115],活跃,未公开,[^R51]
,Bianbu OS,商业,进迭时空 SpacemiT,Ubuntu 26.04；RISC-V[^R2],v4.0.6（2026-08-26）[^R2],未核实[^R2],直接下载（开发板镜像）[^R86],RISC-V 开发者·量产下游客户与硬件厂商·芯片生态（厂商自述）[^R86],活跃,未公开,
,FydeOS,商业,燧炻创新 / Fyde Innovations（工商全称未核实）,Chromium OS + Gentoo Portage[^R45][^R21],v23（openFyde r144）[^R15],ChromeOS 风格自研 shell[^R45],直接下载（个人版免费镜像；企业版需注册；不发 .iso 而是 raw disk image）[^R122],个人 PC 用户·旧机复活·教育机房·企业与机构（厂商自述）｜**安可未在列**[^R103][^R92],活跃,未公开,
,普华桌面操作系统,商业,普华基础软件股份有限公司（中国电科投资设立）,官方未声明[^R62],官方两处不一致：V4.0 / V5.0（注 9）[^R61][^R54],V4.1 = KDE 5.4；V5.0 未查到[^R61],未实测或未查到（官网 502，内容取自 Wayback 快照）[^R61],中国电科体系涉密网/办公网·国家电网试点·邮储·海关（第三方调研，2019 年）｜**安可从未在列**[^R100][^R96],桌面线沉寂（未见 EOL 公告）,未公开,
,中标麒麟桌面操作系统（NeoKylin）,商业,中标软件有限公司 → 现运营主体为麒麟软件有限公司,未查到；历史被归为 RHEL 系[^R81],未查到 V7 之后新版本[^R81],未查到[^R81],直接下载（官网自己的下载页已 HTTP 500）[^R121],国防·政府·企业·电力·金融·少数民族语言地区（厂商自述）｜**安可从未在列**[^R97],停更,未公开[^R36][^R37],[^R10]
,一铭桌面操作系统（EmindDesktop）,商业,一铭软件股份有限公司（新三板 831266）,官方未声明[^R58],4.0 SP1（2016-06）[^R55],未查到[^R58],未实测或未查到[^R55],县市级党政与文体广电系统正版化（厂商自述）｜**央采未通过符合性审查·安可从未在列**[^R92],疑似停止（2016 年后无新版）,未公开,
,EulerOS（华为）,商业,华为,openEuler 商业/闭源对应物[^R72],未公开[^R72],未见桌面版[^R72],未查到公开下载[^R117][^R116],**无桌面客群**（服务器/云/存储）[^R105][^R92],活跃,未公开,
